Title,Year,Age,IMDb,Rotten Tomatoes
Black Summer,2019,18,65.0,76
The Borgias,2011,18,79.0,76
Glee,2009,16,67.0,76
The Stranger,2020,18,73.0,76
Virgin River,2019,16,74.0,76
Lilyhammer,2012,18,80.0,76
Dirty John,2018,18,72.0,76
TURN: Washington's Spies,2014,16,81.0,76
Star Trek: Enterprise,2001,7,75.0,76
She-Ra and the Princesses of Power,2018,0,79.0,75
Merlin,2008,7,79.0,75
The Magicians,2015,16,76.0,75
Ginny & Georgia,2021,16,75.0,75
The Spy,2019,18,79.0,75
On My Block,2018,16,80.0,75
The Movies That Made Us,2019,18,78.0,75
Chef's Table,2015,0,85.0,75
Biohackers,2020,18,68.0,75
The Seven Deadly Sins,2014,16,80.0,75
The Keepers,2017,16,81.0,75
F is for Family,2015,18,80.0,74
The Midnight Gospel,2020,18,82.0,74
Ragnarok,2020,18,75.0,74
Legacies,2018,16,74.0,74
The Order,2019,18,68.0,74
Disenchantment,2018,16,72.0,74
Dead Set,2008,18,76.0,74
Dirty Money,2018,16,81.0,74
The Staircase,2005,16,79.0,74
Soul Eater,2008,16,78.0,74
Into the Night,2020,18,71.0,74
Julie and the Phantoms,2020,7,85.0,74
Leyla ile Mecnun,2011,7,91.0,74
Living with Yourself,2019,18,72.0,74
Hilda,2018,7,86.0,74
The Mechanism,2018,18,84.0,74
ERASED,2016,16,85.0,74
Formula 1: Drive to Survive,2019,16,86.0,74
Don't F**k with Cats: Hunting an Internet Killer,2019,18,80.0,74
Kim's Convenience,2016,16,82.0,73
The Society,2019,18,71.0,73
Imposters,2017,16,78.0,73
Frequency,2016,7,75.0,73
Wentworth,2013,18,86.0,73
Marvel's Iron Fist,2017,18,65.0,73
Bleach,2004,18,81.0,73
Quantico,2015,16,67.0,73
Shooter,2016,16,75.0,73
Pokémon,1997,7,75.0,73
Hollywood,2020,18,75.0,73
Madam Secretary,2014,16,76.0,73
Last Tango in Halifax,2012,16,83.0,73
Safe,2018,18,73.0,73
Resurrection: Ertugrul,2014,16,80.0,73
Versailles,2015,18,79.0,73
Sex/Life,2021,18,54.0,73
Fullmetal Alchemist,2003,16,85.0,73
Marianne,2019,18,75.0,73
Five Came Back,2017,16,83.0,73
