Title,Year,Age,IMDb,Rotten Tomatoes
the seven deadly sins,2014,16,80.0,75
the keepers,2017,16,81.0,75
f is for family,2015,18,80.0,74
the midnight gospel,2020,18,82.0,74
ragnarok,2020,18,75.0,74
legacies,2018,16,74.0,74
the order,2019,18,68.0,74
disenchantment,2018,16,72.0,74
dead set,2008,18,76.0,74
dirty money,2018,16,81.0,74
the staircase,2005,16,79.0,74
soul eater,2008,16,78.0,74
into the night,2020,18,71.0,74
julie and the phantoms,2020,7,85.0,74
leyla ile mecnun,2011,7,91.0,74
living with yourself,2019,18,72.0,74
hilda,2018,7,86.0,74
the mechanism,2018,18,84.0,74
erased,2016,16,85.0,74
formula 1: drive to survive,2019,16,86.0,74
don't f**k with cats: hunting an internet killer,2019,18,80.0,74
kim's convenience,2016,16,82.0,73
the society,2019,18,71.0,73
imposters,2017,16,78.0,73
frequency,2016,7,75.0,73
wentworth,2013,18,86.0,73
marvel's iron fist,2017,18,65.0,73
bleach,2004,18,81.0,73
quantico,2015,16,67.0,73
shooter,2016,16,75.0,73
pokémon,1997,7,75.0,73
hollywood,2020,18,75.0,73
madam secretary,2014,16,76.0,73
last tango in halifax,2012,16,83.0,73
safe,2018,18,73.0,73
resurrection: ertugrul,2014,16,80.0,73
versailles,2015,18,79.0,73
sex/life,2021,18,54.0,73
fullmetal alchemist,2003,16,85.0,73
marianne,2019,18,75.0,73
five came back,2017,16,83.0,73
miraculous: tales of ladybug & cat noir,2015,7,77.0,73
abstract: the art of design,2017,16,84.0,73
teenage bounty hunters,2020,18,77.0,72
documentary now!,2015,18,81.0,72
special,2019,18,76.0,72
jojo's bizarre adventure,2012,18,84.0,72
manhunt,2017,16,81.0,72
your lie in april,2014,7,86.0,72
code geass: lelouch of the rebellion,2006,18,87.0,72
middleditch & schwartz,2020,18,86.0,72
zoo,2015,16,67.0,72
jupiters legacy,2021,18,67.0,72
ratched,2020,18,73.0,72
babylon berlin,2017,18,84.0,72
